0-14,0x0000,0x7FFF,"readwrite"
0-14,0x8000,0x8FFF,"writethrough"
0-14,0x9000,0xAFFF,"passthrough"
0-14,0xB000,0xE7FF,"readonly"
0-14,0xE800,0xEFFF,"passthrough"
0-14,0xF000,0xFFFF,"readonly"
0,0xB000,0xBFFF,"passthrough"
5,0xB000,0xBFFF,"passthrough"
13,0x0000,0xFFFF,"passthrough"
14,0x0000,0x03FF,"readwrite"
14,0x0400,0x0BFF,"writethrough"
14,0x0C00,0x1FFF,"readwrite"
14,0x2000,0x5FFF,"writethrough"
14,0x6000,0xBFFF,"readwrite"
14,0xC000,0xCFFF,"passthrough"
14,0xD000,0xF7FF,"readonly"
14,0xF800,0xFFFF,"passthrough"
15,0x0000,0xFFFF,"readonly"
