# rom sets for pet 2001-8 board
# switch 1 and 2 mapped to turning RAM/ROM replacement on or off
# switch 1 - RAM replacement on/off
# switch 2 - ROM replacement on/off
# switch 3 and 4 will select between:
# BASIC 1 (3 off, 4 off)
# BASIC 2 (3 on, 4 off)
# BASIC 3 (3 off, 4 on)
# BASIC 4 (3 on, 4 on)

# expanded, this is:
# SW: 1234
# 0   0000 - RAM off, ROM off, BASIC 1
# 1   1000 - RAM on, ROM off, BASIC 1
# 2   0100 - RAM off, ROM on, BASIC 1
# 3   1100 - RAM on, ROM on, BASIC 1
# 4   0010 - BASIC 2
# 5   1010 - 
# 6   0110 - 
# 7   1110 - 
# 8   0001 - BASIC 3
# 9   1001 - 
# 10  0101 - 
# 11  1101 - 
# 12  0011 - NOP generator
# 13  1011 - PETTEST
# 14  0111 - Low RAM test
# 15  1111 - VRAM/RAM/ROM test

# BASIC 1
0,rom-1-c000.901439-01.bin,0xc000
0,rom-1-c800.901439-05.bin,0xc800
0,rom-1-d000.901439-02.bin,0xd000
0,rom-1-d800.901439-06.bin,0xd800
0,rom-1-e000.901439-03.bin,0xe000
0,rom-1-f000.901439-04.bin,0xf000
0,rom-1-f800.901439-07.bin,0xf800

1,rom-1-c000.901439-01.bin,0xc000
1,rom-1-c800.901439-05.bin,0xc800
1,rom-1-d000.901439-02.bin,0xd000
1,rom-1-d800.901439-06.bin,0xd800
1,rom-1-e000.901439-03.bin,0xe000
1,rom-1-f000.901439-04.bin,0xf000
1,rom-1-f800.901439-07.bin,0xf800

2,rom-1-c000.901439-01.bin,0xc000
2,rom-1-c800.901439-05.bin,0xc800
2,rom-1-d000.901439-02.bin,0xd000
2,rom-1-d800.901439-06.bin,0xd800
2,rom-1-e000.901439-03.bin,0xe000
2,rom-1-f000.901439-04.bin,0xf000
2,rom-1-f800.901439-07.bin,0xf800

3,rom-1-c000.901439-01.bin,0xc000
3,rom-1-c800.901439-05.bin,0xc800
3,rom-1-d000.901439-02.bin,0xd000
3,rom-1-d800.901439-06.bin,0xd800
3,rom-1-e000.901439-03.bin,0xe000
3,rom-1-f000.901439-04.bin,0xf000
3,rom-1-f800.901439-07.bin,0xf800

# BASIC 2
4,basic-2-c000.901465-01.bin,0xc000
4,basic-2-d000.901465-02.bin,0xd000
4,edit-2-b.901474-01.bin,0xe000
4,kernal-2.901465-03.bin,0xf000

5,basic-2-c000.901465-01.bin,0xc000
5,basic-2-d000.901465-02.bin,0xd000
5,edit-2-b.901474-01.bin,0xe000
5,kernal-2.901465-03.bin,0xf000

6,basic-2-c000.901465-01.bin,0xc000
6,basic-2-d000.901465-02.bin,0xd000
6,edit-2-b.901474-01.bin,0xe000
6,kernal-2.901465-03.bin,0xf000

7,basic-2-c000.901465-01.bin,0xc000
7,basic-2-d000.901465-02.bin,0xd000
7,edit-2-b.901474-01.bin,0xe000
7,kernal-2.901465-03.bin,0xf000

# BASIC 4

8,basic-4-b000.901465-23.bin,0xb000
8,basic-4-c000.901465-20.bin,0xc000
8,basic-4-d000.901465-21.bin,0xd000
8,edit-4-b.901474-02.bin,0xe000
8,kernal-4.901465-22.bin,0xf000

9,basic-4-b000.901465-23.bin,0xb000
9,basic-4-c000.901465-20.bin,0xc000
9,basic-4-d000.901465-21.bin,0xd000
9,edit-4-b.901474-02.bin,0xe000
9,kernal-4.901465-22.bin,0xf000

10,basic-4-b000.901465-23.bin,0xb000
10,basic-4-c000.901465-20.bin,0xc000
10,basic-4-d000.901465-21.bin,0xd000
10,edit-4-b.901474-02.bin,0xe000
10,kernal-4.901465-22.bin,0xf000

11,basic-4-b000.901465-23.bin,0xb000
11,basic-4-c000.901465-20.bin,0xc000
11,basic-4-d000.901465-21.bin,0xd000
11,edit-4-b.901474-02.bin,0xe000
11,kernal-4.901465-22.bin,0xf000

# 4 free spaces, include something here
# repeat basic 4 for now

12,../bin/nop.bin,0x0000

13,PETTESTE2KV04.bin,0xe000
13,kernal-4.901465-22.bin,0xf000

14,../bin/testromv2.out,0xf000

# RAM test
15,../bin/ramtest.bin,0xf000
